"","y","x","Ob","Sho_126","Mid_126","Long_126","Sho_245","Mid_245","Long_245","Sho_585","Mid_585","Long_585"
"519",-45.625,-74.125,35.1152444624328,90.91336153,126.8809568715,249.286565786,88.273228599,199.602205425,479.131932985,85.447542989,256.197797214,847.618233695
"520",-45.625,-74.375,35.3997774626922,89.0722395925,128.0960630735,250.489392161,88.1407557355,197.802123628,477.718400665,85.670649231,253.683577166,847.398141275
"521",-45.625,-74.625,35.5187728240967,88.9480784025,127.886635937,251.671519267,87.722487985,195.579209671,478.048827495,86.0906032335,252.525088026,849.19242157
"522",-45.625,-74.875,36.8856414150238,87.901706961,127.646999512,254.914173935,88.3109488885,194.193609024,475.501482555,85.8014961115,248.822400625,846.35609024
"523",-45.625,166.375,80.0337088981628,146.9686043675,193.0925323265,278.13665793,123.738092266,293.07425718,620.2524274,153.361801011,416.05164228,1036.431244915
"524",-45.625,166.625,77.9402984114074,146.5858792215,192.265559862,280.68115196,123.5946860242,292.898057745,619.37855131,152.845494972,414.064250075,1033.92509223
"525",-45.625,166.875,77.6556247467804,147.1976789205,192.9917383065,280.590362,123.2292219715,293.142300365,620.2353201,152.6435237115,414.712842935,1035.697791745
"526",-45.625,167.125,78.3353052764893,147.3728502085,193.1971147535,281.14750422,123.2528070535,293.1731585,620.20079865,152.819175369,414.69592812,1035.34876259
"527",-45.625,170.625,80.9725566281128,125.2604156655,179.0348686105,288.773447185,125.014768307,272.70629608,597.493896145,128.965166306,389.17006922,992.224984755
"528",-45.625,170.875,82.6332966979217,127.36673222,182.386365397,289.967577925,124.88731766,274.874675675,599.710065475,130.9200012015,391.70851366,993.98702678
"529",-45.875,-67.375,51.1993494585419,115.6063029215,181.240033185,241.10473618,125.6019135115,302.42904103,555.733097155,135.0467810845,383.473303485,1005.7402684
"530",-45.875,-67.625,52.4547050050354,114.855081865,181.252177333,240.53703667,125.490287482,303.005556435,555.39336085,135.3711542035,383.753864305,1006.207957345
"531",-45.875,-73.375,35.6443500179291,90.6351464545,126.980538363,248.052200441,87.8915373235,198.982003729,480.538860525,86.261544234,254.575082161,850.06829134
"532",-45.875,-73.625,34.9753521661377,88.8999419285,128.1319321465,249.5807828445,87.595921994,196.4176436785,481.217345575,85.573751766,253.6825039615,853.068626495
"533",-45.875,-73.875,35.0543990817261,89.0093180715,128.24308287,250.5380545995,87.67885421,196.66712293,479.98206983,85.6836410455,252.7511721385,851.32637231
"534",-45.875,-74.125,34.6741075715637,88.7720508655,128.2182666565,251.6775423795,87.9846829405,196.482894349,479.72800089,85.921869844,250.932310277,850.789264815
"535",-45.875,-74.375,35.5622725224304,88.119322264,127.240816622,252.806765777,87.1865683825,193.5223719965,479.454889895,86.8189197305,249.651649342,853.211794595
"536",-45.875,-74.625,35.3355660504151,85.7505725865,126.048828672,253.595052445,88.0712749545,193.443252235,477.898805695,85.4748341125,244.834221083,849.553755755
"537",-45.875,-74.875,36.3570171040344,85.642542342,120.9056401195,254.608611325,85.7813803765,188.492871034,478.33548596,84.3911234785,242.8206310505,852.326750955
"538",-45.875,-75.125,35.912777389679,84.9947825465,120.83136548,254.712970375,85.704448616,187.571975776,477.97644387,84.434702603,241.171412584,851.24766536
"539",-45.875,166.375,79.6645990965271,146.0589122915,191.0727507,282.56288265,124.5746222235,293.673085355,616.42945755,152.7796300605,411.140173555,1026.216206355
"540",-45.875,166.625,79.922386616745,146.103329618,189.884321673,284.623988545,124.449535537,292.573443295,614.005003395,152.1864645025,409.160193825,1022.46654114
"541",-45.875,166.875,82.2806448265839,146.2722882985,190.0932742245,283.510374095,124.234582399,292.92905221,614.42126769,152.156245876,409.48942303,1023.91976072
"542",-45.875,170.375,80.7478794224549,122.245952395,175.594653792,282.90034829,118.579838865,267.6125782805,589.286143595,126.3388247605,382.896155365,974.5889932
"543",-45.875,170.625,79.5061716181945,123.568234175,176.54813473,286.699687245,119.6705590785,269.0402443965,591.44022077,126.4763329015,385.07677345,980.959488975
"544",-45.875,170.875,85.5104643406678,123.6106045545,177.958552245,287.464142035,121.278274892,270.0951026415,593.545377105,127.3664923835,386.615309345,983.761071685
"545",-45.875,50.375,26.1041614590073,139.1466125395,285.234079165,429.780735675,155.700802073,344.77893639,716.21587683,169.9996766955,453.2623893,1140.40657166
"546",-46.125,-67.625,52.3362604960632,114.589337808,179.833683304,243.262536955,123.5659044655,303.46162287,555.796995875,134.7996808595,381.989496915,1003.52798079
"547",-46.125,-73.375,36.8310938352203,87.848690668,127.808641103,251.188194989,86.8889177565,196.3152553865,480.705374475,87.661118188,250.3567326725,855.14694688
"548",-46.125,-73.625,36.4964202140808,87.6757203055,127.1205320395,251.1301730415,87.2230220415,194.983164944,480.68682028,87.229076748,249.660802291,854.647514295
"549",-46.125,-73.875,36.6380161252594,87.084315855,125.0584097285,252.83735819,87.0203267355,194.415955069,481.08140413,87.310587044,246.456678336,855.227048835
"550",-46.125,-74.125,36.1917840093994,84.867751858,122.93609835,253.02284977,86.7633782675,193.841244619,481.083457595,86.5130953615,244.166676573,854.45845793
"551",-46.125,-74.375,36.4011858612061,84.8441112875,123.1234983055,252.9172664,86.847340589,193.213754206,480.751139215,85.9638919655,243.010233778,854.53666162
"552",-46.125,-74.625,35.0445527656555,83.7223107265,120.164266672,252.41394511,84.719869869,188.8561103375,478.35452868,85.125199727,241.3707843495,854.08480348
"553",-46.125,-74.875,35.3002952785492,83.0971837825,120.756036044,252.606919995,84.0919870535,188.090707242,478.43677607,84.7601154495,239.6185065255,853.99171395
